instant,dteday,season,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,casual,registered,cnt,month,year
3670,2011-06-06,Summer,0,Monday,1,1,0.72,0.6667,0.54,0.194,64,343,407,June,2011
3671,2011-06-06,Summer,0,Monday,1,1,0.68,0.6364,0.61,0.1343,59,277,336,June,2011
3672,2011-06-06,Summer,0,Monday,1,1,0.66,0.6212,0.57,0.0896,29,160,189,June,2011
3673,2011-06-06,Summer,0,Monday,1,1,0.66,0.6212,0.61,0.0896,36,137,173,June,2011
3674,2011-06-06,Summer,0,Monday,1,1,0.64,0.6061,0.69,0.0896,5,55,60,June,2011
3675,2011-06-07,Summer,0,Tuesday,1,1,0.64,0.6061,0.65,0.0896,5,15,20,June,2011
3676,2011-06-07,Summer,0,Tuesday,1,1,0.62,0.6061,0.69,0.1343,2,2,4,June,2011
3677,2011-06-07,Summer,0,Tuesday,1,1,0.6,0.5909,0.73,0.0896,3,2,5,June,2011
3678,2011-06-07,Summer,0,Tuesday,1,1,0.6,0.5909,0.73,0.0896,1,1,2,June,2011
3679,2011-06-07,Summer,0,Tuesday,1,1,0.58,0.5455,0.83,0.1343,2,3,5,June,2011
3680,2011-06-07,Summer,0,Tuesday,1,1,0.58,0.5455,0.88,0.1642,2,30,32,June,2011
3681,2011-06-07,Summer,0,Tuesday,1,1,0.6,0.5758,0.78,0.1343,10,116,126,June,2011
3682,2011-06-07,Summer,0,Tuesday,1,2,0.64,0.6061,0.69,0.194,23,311,334,June,2011
3683,2011-06-07,Summer,0,Tuesday,1,2,0.68,0.6364,0.61,0.1343,45,432,477,June,2011
3684,2011-06-07,Summer,0,Tuesday,1,2,0.72,0.6667,0.58,0.2239,27,190,217,June,2011
3685,2011-06-07,Summer,0,Tuesday,1,2,0.76,0.6818,0.48,0.194,37,86,123,June,2011
3686,2011-06-07,Summer,0,Tuesday,1,2,0.76,0.697,0.52,0.2537,38,113,151,June,2011
3687,2011-06-07,Summer,0,Tuesday,1,2,0.8,0.7273,0.46,0.2836,42,141,183,June,2011
3688,2011-06-07,Summer,0,Tuesday,1,2,0.8,0.7273,0.43,0.2537,55,141,196,June,2011
3689,2011-06-07,Summer,0,Tuesday,1,2,0.8,0.7273,0.43,0.2836,34,112,146,June,2011
3690,2011-06-07,Summer,0,Tuesday,1,2,0.82,0.7424,0.41,0.3284,56,127,183,June,2011
3691,2011-06-07,Summer,0,Tuesday,1,1,0.8,0.7121,0.38,0.2239,55,253,308,June,2011
3692,2011-06-07,Summer,0,Tuesday,1,1,0.8,0.7273,0.43,0.2537,64,475,539,June,2011
3693,2011-06-07,Summer,0,Tuesday,1,1,0.78,0.697,0.46,0.2836,72,479,551,June,2011
3694,2011-06-07,Summer,0,Tuesday,1,1,0.76,0.6818,0.48,0.2537,69,355,424,June,2011
3695,2011-06-07,Summer,0,Tuesday,1,1,0.74,0.6818,0.56,0.1343,45,301,346,June,2011
3696,2011-06-07,Summer,0,Tuesday,1,1,0.72,0.6818,0.7,0.1343,31,187,218,June,2011
3697,2011-06-07,Summer,0,Tuesday,1,1,0.7,0.6515,0.65,0.1343,27,126,153,June,2011
3698,2011-06-07,Summer,0,Tuesday,1,1,0.68,0.6364,0.79,0.1045,18,72,90,June,2011
3699,2011-06-08,Summer,0,Wednesday,1,1,0.66,0.5909,0.89,0.1343,12,29,41,June,2011
3700,2011-06-08,Summer,0,Wednesday,1,1,0.66,0.6061,0.78,0.0,3,20,23,June,2011
3701,2011-06-08,Summer,0,Wednesday,1,1,0.64,0.5758,0.89,0.0896,0,7,7,June,2011
3702,2011-06-08,Summer,0,Wednesday,1,1,0.64,0.5758,0.89,0.0896,2,1,3,June,2011
3703,2011-06-08,Summer,0,Wednesday,1,1,0.62,0.5758,0.83,0.0,0,6,6,June,2011
3704,2011-06-08,Summer,0,Wednesday,1,1,0.62,0.5606,0.88,0.0,0,21,21,June,2011
3705,2011-06-08,Summer,0,Wednesday,1,1,0.64,0.5758,0.89,0.1343,13,103,116,June,2011
3706,2011-06-08,Summer,0,Wednesday,1,1,0.66,0.6212,0.74,0.1045,24,329,353,June,2011
3707,2011-06-08,Summer,0,Wednesday,1,1,0.76,0.7121,0.58,0.1642,46,435,481,June,2011
3708,2011-06-08,Summer,0,Wednesday,1,1,0.76,0.7121,0.58,0.1642,34,168,202,June,2011
3709,2011-06-08,Summer,0,Wednesday,1,1,0.82,0.7424,0.43,0.2239,27,63,90,June,2011
3710,2011-06-08,Summer,0,Wednesday,1,1,0.84,0.7576,0.41,0.194,28,106,134,June,2011
3711,2011-06-08,Summer,0,Wednesday,1,1,0.88,0.8182,0.42,0.1343,15,134,149,June,2011
3712,2011-06-08,Summer,0,Wednesday,1,1,0.9,0.8485,0.42,0.0,20,116,136,June,2011
3713,2011-06-08,Summer,0,Wednesday,1,1,0.92,0.8788,0.4,0.2537,44,111,155,June,2011
3714,2011-06-08,Summer,0,Wednesday,1,1,0.92,0.8788,0.4,0.1642,28,100,128,June,2011
3715,2011-06-08,Summer,0,Wednesday,1,1,0.92,0.8788,0.4,0.2239,34,199,233,June,2011
3716,2011-06-08,Summer,0,Wednesday,1,1,0.92,0.8485,0.35,0.2239,80,426,506,June,2011
3717,2011-06-08,Summer,0,Wednesday,1,1,0.9,0.8182,0.37,0.2239,61,398,459,June,2011
3718,2011-06-08,Summer,0,Wednesday,1,1,0.82,0.803,0.59,0.1343,61,323,384,June,2011
3719,2011-06-08,Summer,0,Wednesday,1,1,0.8,0.7879,0.63,0.1343,55,225,280,June,2011
3720,2011-06-08,Summer,0,Wednesday,1,1,0.8,0.803,0.66,0.1343,34,168,202,June,2011
3721,2011-06-08,Summer,0,Wednesday,1,1,0.76,0.7424,0.75,0.1642,37,139,176,June,2011
3722,2011-06-08,Summer,0,Wednesday,1,1,0.76,0.7424,0.75,0.194,18,98,116,June,2011
3723,2011-06-09,Summer,0,Thursday,1,2,0.74,0.7121,0.79,0.1343,7,40,47,June,2011
3724,2011-06-09,Summer,0,Thursday,1,1,0.74,0.7121,0.79,0.1045,3,13,16,June,2011
3725,2011-06-09,Summer,0,Thursday,1,2,0.72,0.7121,0.84,0.1642,0,6,6,June,2011
3726,2011-06-09,Summer,0,Thursday,1,2,0.72,0.7121,0.84,0.1045,0,2,2,June,2011
3727,2011-06-09,Summer,0,Thursday,1,2,0.72,0.697,0.79,0.0896,2,4,6,June,2011
3728,2011-06-09,Summer,0,Thursday,1,2,0.7,0.6667,0.84,0.0,1,19,20,June,2011
3729,2011-06-09,Summer,0,Thursday,1,2,0.72,0.7121,0.84,0.0896,13,105,118,June,2011
3730,2011-06-09,Summer,0,Thursday,1,2,0.72,0.697,0.79,0.1343,31,283,314,June,2011
3731,2011-06-09,Summer,0,Thursday,1,2,0.76,0.7273,0.7,0.1045,32,400,432,June,2011
3732,2011-06-09,Summer,0,Thursday,1,1,0.84,0.7879,0.49,0.0,20,148,168,June,2011
3733,2011-06-09,Summer,0,Thursday,1,1,0.86,0.8182,0.5,0.2836,20,74,94,June,2011
3734,2011-06-09,Summer,0,Thursday,1,1,0.9,0.8485,0.42,0.2239,36,82,118,June,2011
3735,2011-06-09,Summer,0,Thursday,1,1,0.92,0.8485,0.35,0.194,40,100,140,June,2011
3736,2011-06-09,Summer,0,Thursday,1,1,0.9,0.8182,0.37,0.0896,18,118,136,June,2011
3737,2011-06-09,Summer,0,Thursday,1,1,0.92,0.8788,0.4,0.194,25,93,118,June,2011
3738,2011-06-09,Summer,0,Thursday,1,1,0.94,0.8333,0.31,0.1642,18,86,104,June,2011
3739,2011-06-09,Summer,0,Thursday,1,1,0.92,0.8333,0.33,0.1343,30,170,200,June,2011
3740,2011-06-09,Summer,0,Thursday,1,1,0.9,0.8182,0.37,0.2537,54,355,409,June,2011
3741,2011-06-09,Summer,0,Thursday,1,1,0.88,0.803,0.39,0.2836,52,414,466,June,2011
3742,2011-06-09,Summer,0,Thursday,1,2,0.84,0.7424,0.39,0.3284,55,271,326,June,2011
3743,2011-06-09,Summer,0,Thursday,1,2,0.8,0.7273,0.43,0.194,40,214,254,June,2011
3744,2011-06-09,Summer,0,Thursday,1,3,0.76,0.697,0.52,0.0,29,142,171,June,2011
3745,2011-06-09,Summer,0,Thursday,1,2,0.74,0.6818,0.58,0.1642,22,131,153,June,2011
3746,2011-06-09,Summer,0,Thursday,1,2,0.74,0.697,0.57,0.1642,15,82,97,June,2011
3747,2011-06-10,Summer,0,Friday,1,3,0.7,0.6515,0.65,0.2239,8,61,69,June,2011
3748,2011-06-10,Summer,0,Friday,1,3,0.7,0.6515,0.65,0.2239,5,18,23,June,2011
3749,2011-06-10,Summer,0,Friday,1,1,0.68,0.6364,0.69,0.1642,6,7,13,June,2011
3750,2011-06-10,Summer,0,Friday,1,1,0.68,0.6364,0.69,0.1642,3,3,6,June,2011
3751,2011-06-10,Summer,0,Friday,1,1,0.66,0.6061,0.78,0.1642,0,4,4,June,2011
3752,2011-06-10,Summer,0,Friday,1,1,0.66,0.6061,0.78,0.1642,0,28,28,June,2011
3753,2011-06-10,Summer,0,Friday,1,1,0.66,0.6061,0.78,0.0896,10,94,104,June,2011
3754,2011-06-10,Summer,0,Friday,1,1,0.72,0.6818,0.66,0.1045,25,242,267,June,2011
3755,2011-06-10,Summer,0,Friday,1,1,0.74,0.6818,0.58,0.1343,29,423,452,June,2011
3756,2011-06-10,Summer,0,Friday,1,1,0.76,0.697,0.55,0.0,37,176,213,June,2011
3757,2011-06-10,Summer,0,Friday,1,1,0.78,0.7121,0.52,0.0,23,88,111,June,2011
3758,2011-06-10,Summer,0,Friday,1,1,0.82,0.7576,0.46,0.0,46,107,153,June,2011
3759,2011-06-10,Summer,0,Friday,1,1,0.84,0.7576,0.44,0.1343,40,167,207,June,2011
3760,2011-06-10,Summer,0,Friday,1,1,0.84,0.7576,0.44,0.1045,40,149,189,June,2011
3761,2011-06-10,Summer,0,Friday,1,1,0.86,0.7727,0.39,0.0,44,121,165,June,2011
3762,2011-06-10,Summer,0,Friday,1,1,0.84,0.7576,0.44,0.1045,49,163,212,June,2011
3763,2011-06-10,Summer,0,Friday,1,1,0.82,0.7879,0.56,0.2985,46,239,285,June,2011
3764,2011-06-10,Summer,0,Friday,1,1,0.82,0.7727,0.52,0.2239,63,454,517,June,2011
3765,2011-06-10,Summer,0,Friday,1,1,0.8,0.7727,0.59,0.2239,96,367,463,June,2011
3766,2011-06-10,Summer,0,Friday,1,1,0.78,0.7424,0.59,0.194,61,245,306,June,2011
3767,2011-06-10,Summer,0,Friday,1,1,0.76,0.7121,0.62,0.1045,53,197,250,June,2011
3768,2011-06-10,Summer,0,Friday,1,1,0.76,0.7273,0.66,0.1343,55,163,218,June,2011
3769,2011-06-10,Summer,0,Friday,1,1,0.72,0.697,0.74,0.2537,40,145,185,June,2011
3770,2011-06-10,Summer,0,Friday,1,1,0.72,0.697,0.74,0.1642,36,110,146,June,2011
3771,2011-06-11,Summer,0,Saturday,0,1,0.7,0.6667,0.79,0.1343,28,89,117,June,2011
3772,2011-06-11,Summer,0,Saturday,0,1,0.7,0.6667,0.79,0.0896,10,67,77,June,2011
3773,2011-06-11,Summer,0,Saturday,0,1,0.7,0.6667,0.79,0.1045,10,50,60,June,2011
3774,2011-06-11,Summer,0,Saturday,0,1,0.68,0.6364,0.83,0.0896,10,18,28,June,2011
3775,2011-06-11,Summer,0,Saturday,0,1,0.68,0.6364,0.79,0.0896,4,9,13,June,2011
3776,2011-06-11,Summer,0,Saturday,0,1,0.68,0.6364,0.74,0.1343,4,12,16,June,2011
3777,2011-06-11,Summer,0,Saturday,0,1,0.7,0.6515,0.61,0.1343,9,31,40,June,2011
3778,2011-06-11,Summer,0,Saturday,0,1,0.72,0.6667,0.58,0.194,18,50,68,June,2011
3779,2011-06-11,Summer,0,Saturday,0,1,0.74,0.6818,0.58,0.194,32,111,143,June,2011
3780,2011-06-11,Summer,0,Saturday,0,1,0.74,0.6818,0.62,0.1343,59,171,230,June,2011
3781,2011-06-11,Summer,0,Saturday,0,1,0.74,0.6818,0.58,0.1642,91,173,264,June,2011
3782,2011-06-11,Summer,0,Saturday,0,1,0.76,0.7121,0.62,0.1343,110,215,325,June,2011
3783,2011-06-11,Summer,0,Saturday,0,1,0.8,0.7576,0.55,0.2239,112,235,347,June,2011
3784,2011-06-11,Summer,0,Saturday,0,1,0.8,0.7576,0.55,0.194,150,237,387,June,2011
3785,2011-06-11,Summer,0,Saturday,0,1,0.82,0.7727,0.49,0.1045,148,232,380,June,2011
3786,2011-06-11,Summer,0,Saturday,0,1,0.82,0.7727,0.49,0.1045,142,232,374,June,2011
3787,2011-06-11,Summer,0,Saturday,0,2,0.8,0.7273,0.46,0.194,169,225,394,June,2011
3788,2011-06-11,Summer,0,Saturday,0,2,0.74,0.6818,0.58,0.1642,147,190,337,June,2011
3789,2011-06-11,Summer,0,Saturday,0,2,0.72,0.6818,0.62,0.1343,131,155,286,June,2011
3790,2011-06-11,Summer,0,Saturday,0,1,0.7,0.6515,0.65,0.194,97,167,264,June,2011
3791,2011-06-11,Summer,0,Saturday,0,1,0.68,0.6364,0.74,0.2537,95,180,275,June,2011
3792,2011-06-11,Summer,0,Saturday,0,1,0.66,0.6212,0.74,0.2239,76,144,220,June,2011
3793,2011-06-11,Summer,0,Saturday,0,1,0.66,0.6061,0.78,0.2239,53,137,190,June,2011
3794,2011-06-11,Summer,0,Saturday,0,1,0.66,0.6212,0.74,0.1045,24,107,131,June,2011
3795,2011-06-12,Summer,0,Sunday,0,1,0.66,0.6061,0.78,0.2239,19,100,119,June,2011
3796,2011-06-12,Summer,0,Sunday,0,1,0.64,0.5758,0.83,0.1045,19,74,93,June,2011
3797,2011-06-12,Summer,0,Sunday,0,1,0.64,0.5758,0.89,0.2537,9,57,66,June,2011
3798,2011-06-12,Summer,0,Sunday,0,1,0.64,0.5758,0.89,0.2836,8,20,28,June,2011
3799,2011-06-12,Summer,0,Sunday,0,1,0.62,0.5606,0.88,0.1642,8,6,14,June,2011
3800,2011-06-12,Summer,0,Sunday,0,1,0.62,0.5606,0.88,0.2239,5,5,10,June,2011
3801,2011-06-12,Summer,0,Sunday,0,1,0.62,0.5606,0.88,0.1045,5,9,14,June,2011
3802,2011-06-12,Summer,0,Sunday,0,1,0.64,0.5909,0.78,0.1045,7,27,34,June,2011
3803,2011-06-12,Summer,0,Sunday,0,1,0.7,0.6667,0.74,0.0,28,64,92,June,2011
3804,2011-06-12,Summer,0,Sunday,0,1,0.72,0.6818,0.66,0.0,75,107,182,June,2011
3805,2011-06-12,Summer,0,Sunday,0,1,0.76,0.7121,0.58,0.0896,120,191,311,June,2011
3806,2011-06-12,Summer,0,Sunday,0,1,0.78,0.7273,0.55,0.1045,131,236,367,June,2011
3807,2011-06-12,Summer,0,Sunday,0,1,0.82,0.7576,0.46,0.0,176,244,420,June,2011
3808,2011-06-12,Summer,0,Sunday,0,1,0.78,0.7424,0.59,0.2836,109,264,373,June,2011
3809,2011-06-12,Summer,0,Sunday,0,1,0.82,0.7879,0.56,0.2537,96,219,315,June,2011
3810,2011-06-12,Summer,0,Sunday,0,1,0.8,0.7727,0.59,0.2985,142,218,360,June,2011
3811,2011-06-12,Summer,0,Sunday,0,3,0.68,0.6364,0.83,0.2836,115,235,350,June,2011
3812,2011-06-12,Summer,0,Sunday,0,3,0.68,0.6364,0.83,0.2836,94,158,252,June,2011
3813,2011-06-12,Summer,0,Sunday,0,1,0.7,0.6667,0.74,0.1642,69,187,256,June,2011
3814,2011-06-12,Summer,0,Sunday,0,1,0.7,0.6667,0.74,0.1045,67,156,223,June,2011
3815,2011-06-12,Summer,0,Sunday,0,1,0.66,0.6061,0.83,0.1642,62,144,206,June,2011
3816,2011-06-12,Summer,0,Sunday,0,1,0.66,0.6061,0.83,0.1045,39,101,140,June,2011
3817,2011-06-12,Summer,0,Sunday,0,1,0.64,0.5758,0.83,0.1343,31,97,128,June,2011
3818,2011-06-12,Summer,0,Sunday,0,1,0.64,0.5909,0.78,0.194,33,74,107,June,2011
3819,2011-06-13,Summer,0,Monday,1,1,0.64,0.5909,0.78,0.1343,8,20,28,June,2011
3820,2011-06-13,Summer,0,Monday,1,1,0.64,0.6061,0.73,0.2239,6,10,16,June,2011
3821,2011-06-13,Summer,0,Monday,1,1,0.62,0.5909,0.73,0.2836,2,8,10,June,2011
3822,2011-06-13,Summer,0,Monday,1,1,0.6,0.6061,0.6,0.4925,1,6,7,June,2011
3823,2011-06-13,Summer,0,Monday,1,1,0.56,0.5303,0.64,0.2985,1,3,4,June,2011
3824,2011-06-13,Summer,0,Monday,1,1,0.54,0.5152,0.64,0.3881,2,27,29,June,2011
3825,2011-06-13,Summer,0,Monday,1,1,0.54,0.5152,0.64,0.4179,7,98,105,June,2011
3826,2011-06-13,Summer,0,Monday,1,1,0.56,0.5303,0.56,0.3582,26,302,328,June,2011
3827,2011-06-13,Summer,0,Monday,1,1,0.58,0.5455,0.49,0.4478,44,432,476,June,2011
3828,2011-06-13,Summer,0,Monday,1,1,0.62,0.6212,0.46,0.3582,35,189,224,June,2011
3829,2011-06-13,Summer,0,Monday,1,1,0.64,0.6212,0.41,0.3284,38,80,118,June,2011
3830,2011-06-13,Summer,0,Monday,1,1,0.66,0.6212,0.41,0.2985,53,106,159,June,2011
3831,2011-06-13,Summer,0,Monday,1,1,0.66,0.6212,0.41,0.2836,35,161,196,June,2011
3832,2011-06-13,Summer,0,Monday,1,1,0.7,0.6364,0.37,0.0,53,174,227,June,2011
3833,2011-06-13,Summer,0,Monday,1,1,0.7,0.6364,0.34,0.2537,55,145,200,June,2011
3834,2011-06-13,Summer,0,Monday,1,1,0.7,0.6364,0.37,0.4478,58,127,185,June,2011
3835,2011-06-13,Summer,0,Monday,1,1,0.7,0.6364,0.37,0.4179,64,262,326,June,2011
3836,2011-06-13,Summer,0,Monday,1,1,0.7,0.6364,0.39,0.3284,72,529,601,June,2011
3837,2011-06-13,Summer,0,Monday,1,1,0.7,0.6364,0.37,0.3582,76,510,586,June,2011
3838,2011-06-13,Summer,0,Monday,1,1,0.66,0.6212,0.39,0.2836,75,348,423,June,2011
3839,2011-06-13,Summer,0,Monday,1,1,0.64,0.6212,0.44,0.2537,78,253,331,June,2011
3840,2011-06-13,Summer,0,Monday,1,1,0.64,0.6212,0.41,0.2537,40,178,218,June,2011
3841,2011-06-13,Summer,0,Monday,1,1,0.62,0.6212,0.46,0.2239,20,114,134,June,2011
3842,2011-06-13,Summer,0,Monday,1,1,0.62,0.6212,0.46,0.194,14,75,89,June,2011
3843,2011-06-14,Summer,0,Tuesday,1,1,0.6,0.6212,0.49,0.194,13,18,31,June,2011
3844,2011-06-14,Summer,0,Tuesday,1,1,0.6,0.6212,0.49,0.2537,3,10,13,June,2011
3845,2011-06-14,Summer,0,Tuesday,1,1,0.6,0.6212,0.49,0.2836,2,8,10,June,2011
3846,2011-06-14,Summer,0,Tuesday,1,1,0.58,0.5455,0.53,0.3284,1,1,2,June,2011
3847,2011-06-14,Summer,0,Tuesday,1,1,0.54,0.5152,0.6,0.2537,0,3,3,June,2011
3848,2011-06-14,Summer,0,Tuesday,1,1,0.54,0.5152,0.56,0.3284,3,23,26,June,2011
3849,2011-06-14,Summer,0,Tuesday,1,1,0.54,0.5152,0.56,0.2985,6,107,113,June,2011
3850,2011-06-14,Summer,0,Tuesday,1,1,0.56,0.5303,0.52,0.4179,19,346,365,June,2011
3851,2011-06-14,Summer,0,Tuesday,1,1,0.58,0.5455,0.49,0.3881,45,441,486,June,2011
3852,2011-06-14,Summer,0,Tuesday,1,1,0.62,0.6212,0.46,0.194,19,174,193,June,2011
3853,2011-06-14,Summer,0,Tuesday,1,1,0.62,0.6212,0.46,0.2239,33,97,130,June,2011
3854,2011-06-14,Summer,0,Tuesday,1,1,0.64,0.6212,0.41,0.2836,40,103,143,June,2011
3855,2011-06-14,Summer,0,Tuesday,1,1,0.64,0.6212,0.41,0.3582,30,139,169,June,2011
3856,2011-06-14,Summer,0,Tuesday,1,1,0.64,0.6212,0.44,0.2239,33,176,209,June,2011
3857,2011-06-14,Summer,0,Tuesday,1,2,0.64,0.6212,0.47,0.194,41,118,159,June,2011
3858,2011-06-14,Summer,0,Tuesday,1,1,0.64,0.6212,0.47,0.1642,42,136,178,June,2011
3859,2011-06-14,Summer,0,Tuesday,1,1,0.68,0.6364,0.41,0.194,51,279,330,June,2011
3860,2011-06-14,Summer,0,Tuesday,1,3,0.64,0.6212,0.5,0.2836,85,484,569,June,2011
3861,2011-06-14,Summer,0,Tuesday,1,1,0.62,0.6212,0.51,0.3284,65,473,538,June,2011
3862,2011-06-14,Summer,0,Tuesday,1,1,0.64,0.6212,0.5,0.3582,51,335,386,June,2011
3863,2011-06-14,Summer,0,Tuesday,1,1,0.6,0.6212,0.56,0.1642,60,237,297,June,2011
3864,2011-06-14,Summer,0,Tuesday,1,1,0.6,0.6212,0.56,0.2985,37,206,243,June,2011
3865,2011-06-14,Summer,0,Tuesday,1,1,0.58,0.5455,0.6,0.2239,29,159,188,June,2011
3866,2011-06-14,Summer,0,Tuesday,1,1,0.56,0.5303,0.68,0.2239,19,91,110,June,2011
3867,2011-06-15,Summer,0,Wednesday,1,1,0.56,0.5303,0.64,0.3582,8,44,52,June,2011
3868,2011-06-15,Summer,0,Wednesday,1,1,0.54,0.5152,0.64,0.2836,0,14,14,June,2011
3869,2011-06-15,Summer,0,Wednesday,1,1,0.52,0.5,0.63,0.2239,0,9,9,June,2011
3870,2011-06-15,Summer,0,Wednesday,1,1,0.5,0.4848,0.68,0.2537,0,1,1,June,2011
3871,2011-06-15,Summer,0,Wednesday,1,1,0.5,0.4848,0.63,0.2836,0,4,4,June,2011
3872,2011-06-15,Summer,0,Wednesday,1,1,0.48,0.4697,0.67,0.2836,1,20,21,June,2011
3873,2011-06-15,Summer,0,Wednesday,1,1,0.5,0.4848,0.63,0.2537,11,110,121,June,2011
3874,2011-06-15,Summer,0,Wednesday,1,1,0.54,0.5152,0.6,0.1343,22,348,370,June,2011
3875,2011-06-15,Summer,0,Wednesday,1,1,0.58,0.5455,0.53,0.1343,53,445,498,June,2011
3876,2011-06-15,Summer,0,Wednesday,1,1,0.6,0.6212,0.49,0.0,22,185,207,June,2011
3877,2011-06-15,Summer,0,Wednesday,1,1,0.64,0.6212,0.47,0.1642,27,108,135,June,2011
3878,2011-06-15,Summer,0,Wednesday,1,1,0.68,0.6364,0.36,0.0,49,115,164,June,2011
3879,2011-06-15,Summer,0,Wednesday,1,1,0.7,0.6364,0.34,0.2239,33,178,211,June,2011
3880,2011-06-15,Summer,0,Wednesday,1,1,0.74,0.6515,0.28,0.2836,43,146,189,June,2011
3881,2011-06-15,Summer,0,Wednesday,1,1,0.74,0.6515,0.28,0.0,50,128,178,June,2011
3882,2011-06-15,Summer,0,Wednesday,1,1,0.76,0.6667,0.27,0.0,33,131,164,June,2011
3883,2011-06-15,Summer,0,Wednesday,1,1,0.76,0.6667,0.27,0.1343,47,265,312,June,2011
3884,2011-06-15,Summer,0,Wednesday,1,1,0.74,0.6515,0.28,0.1045,83,555,638,June,2011
3885,2011-06-15,Summer,0,Wednesday,1,1,0.72,0.6515,0.32,0.1343,80,527,607,June,2011
3886,2011-06-15,Summer,0,Wednesday,1,1,0.7,0.6364,0.37,0.2836,54,362,416,June,2011
3887,2011-06-15,Summer,0,Wednesday,1,1,0.66,0.6212,0.44,0.1642,57,273,330,June,2011
3888,2011-06-15,Summer,0,Wednesday,1,1,0.64,0.6212,0.47,0.2239,48,209,257,June,2011
3889,2011-06-15,Summer,0,Wednesday,1,1,0.62,0.6212,0.5,0.1045,31,144,175,June,2011
3890,2011-06-15,Summer,0,Wednesday,1,1,0.62,0.6212,0.53,0.0,17,90,107,June,2011
3891,2011-06-16,Summer,0,Thursday,1,1,0.6,0.6212,0.56,0.1045,9,38,47,June,2011
3892,2011-06-16,Summer,0,Thursday,1,1,0.58,0.5455,0.6,0.0,4,13,17,June,2011
3893,2011-06-16,Summer,0,Thursday,1,1,0.6,0.6212,0.56,0.0896,1,4,5,June,2011
3894,2011-06-16,Summer,0,Thursday,1,2,0.56,0.5303,0.73,0.0896,0,4,4,June,2011
3895,2011-06-16,Summer,0,Thursday,1,2,0.56,0.5303,0.68,0.1045,0,6,6,June,2011
3896,2011-06-16,Summer,0,Thursday,1,1,0.6,0.6061,0.64,0.194,7,18,25,June,2011
3897,2011-06-16,Summer,0,Thursday,1,3,0.58,0.5455,0.73,0.1642,8,104,112,June,2011
3898,2011-06-16,Summer,0,Thursday,1,3,0.56,0.5303,0.78,0.1642,16,172,188,June,2011
3899,2011-06-16,Summer,0,Thursday,1,2,0.6,0.5909,0.69,0.1343,24,364,388,June,2011
3900,2011-06-16,Summer,0,Thursday,1,2,0.62,0.6061,0.65,0.194,29,232,261,June,2011
3901,2011-06-16,Summer,0,Thursday,1,2,0.66,0.6212,0.61,0.2537,18,103,121,June,2011
3902,2011-06-16,Summer,0,Thursday,1,2,0.68,0.6364,0.61,0.2985,33,117,150,June,2011
3903,2011-06-16,Summer,0,Thursday,1,1,0.72,0.6667,0.54,0.3881,41,165,206,June,2011
3904,2011-06-16,Summer,0,Thursday,1,2,0.72,0.6667,0.54,0.2537,37,114,151,June,2011
3905,2011-06-16,Summer,0,Thursday,1,2,0.72,0.6667,0.54,0.3284,39,114,153,June,2011
3906,2011-06-16,Summer,0,Thursday,1,2,0.7,0.6515,0.61,0.2985,32,127,159,June,2011
3907,2011-06-16,Summer,0,Thursday,1,3,0.66,0.6212,0.69,0.194,36,258,294,June,2011
3908,2011-06-16,Summer,0,Thursday,1,2,0.64,0.5909,0.78,0.1045,42,230,272,June,2011
3909,2011-06-16,Summer,0,Thursday,1,1,0.64,0.5758,0.83,0.2239,26,299,325,June,2011
3910,2011-06-16,Summer,0,Thursday,1,1,0.62,0.5758,0.83,0.2836,58,269,327,June,2011
3911,2011-06-16,Summer,0,Thursday,1,1,0.62,0.5758,0.83,0.3284,25,176,201,June,2011
3912,2011-06-16,Summer,0,Thursday,1,3,0.62,0.5758,0.83,0.2537,34,154,188,June,2011
3913,2011-06-16,Summer,0,Thursday,1,3,0.62,0.5758,0.83,0.2537,24,127,151,June,2011
3914,2011-06-16,Summer,0,Thursday,1,3,0.6,0.5606,0.83,0.2537,2,14,16,June,2011
3915,2011-06-17,Summer,0,Friday,1,1,0.56,0.5303,0.88,0.0896,3,21,24,June,2011
3916,2011-06-17,Summer,0,Friday,1,1,0.56,0.5303,0.94,0.1343,4,19,23,June,2011
3917,2011-06-17,Summer,0,Friday,1,1,0.56,0.5303,0.94,0.1045,2,11,13,June,2011
3918,2011-06-17,Summer,0,Friday,1,1,0.56,0.5303,0.94,0.1045,1,5,6,June,2011
3919,2011-06-17,Summer,0,Friday,1,1,0.54,0.5152,0.94,0.1343,1,5,6,June,2011
3920,2011-06-17,Summer,0,Friday,1,1,0.54,0.5152,1.0,0.0,1,12,13,June,2011
3921,2011-06-17,Summer,0,Friday,1,1,0.56,0.5303,0.94,0.0,8,89,97,June,2011
3922,2011-06-17,Summer,0,Friday,1,1,0.6,0.5606,0.83,0.0,25,225,250,June,2011
3923,2011-06-17,Summer,0,Friday,1,2,0.6,0.5606,0.83,0.0,28,426,454,June,2011
3924,2011-06-17,Summer,0,Friday,1,1,0.7,0.6515,0.58,0.194,28,196,224,June,2011
3925,2011-06-17,Summer,0,Friday,1,1,0.7,0.6515,0.58,0.194,44,126,170,June,2011
3926,2011-06-17,Summer,0,Friday,1,1,0.68,0.6364,0.69,0.2537,43,138,181,June,2011
3927,2011-06-17,Summer,0,Friday,1,1,0.7,0.6515,0.65,0.2537,49,194,243,June,2011
